title,review,review_date,travel_date,airline,rate
Most trusted among other (average) Bangladeshi Airlines,"Among the Bangladeshi poor airline services, I always prefer government owned Bangladesh Biman. They have more flights and more destinations than any other airline. And For Nepal, heir timing is best for any tourist with limited time. So far, apart from once, their timing seemed okay too, with around 30 minutes delay. However, their food service is a joke, almost an insult.","Reviewed September 29, 2018 ",Date of travel: July 2018,Biman_Bangladesh_Airlines,3 of 5 bubbles
"TERRIBLE DELAYS, DO NOT USE BIMAN","Absolutely awful, expect 6 hour delays as normal. ONE year on and i am still chasing compensation for 7 passengers. Do not travel with BIMAN ever","Reviewed September 28, 2018 ",Date of travel: February 2018,Biman_Bangladesh_Airlines,1 of 5 bubbles
Biman has improved,"I hve flown Biman a few times and, to be fair, it has improved.The flight left on time (used to be an issue before). The planes are better and crew more attentive. Cabin for cabin, there is still a gap when compared with other international airlines, but it is making a step in the right direction.","Reviewed September 25, 2018 ",Date of travel: February 2018,Biman_Bangladesh_Airlines,3 of 5 bubbles
Good service,"Good service... but expect more improve & on time, food / staff are very good, enjoying, god bless biman!","Reviewed September 24, 2018 ",Date of travel: September 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
Value for money,This was my first time with Biman Bangladesh airlines. The flight was on time and the take off is smooth. The career itself is in good condition and the food was testy. The cabin crew are friendly. The only problem I had is the leg space. It’s bit challenging for tall persons.,"Reviewed September 23, 2018 ",Date of travel: September 2018,Biman_Bangladesh_Airlines,3 of 5 bubbles
Hit or miss... This time a miss.,"I've flown Biman a few times. It's hit or miss. This time it was miss. The plane was ancient... At least 30 years old. Filthy. Broken parts. Seats worn thin. Flight attendant with permanent frown. Food inedible. About 45 minutes late. Upon landing in Dhaka, it took 1+ hr to get luggage. I do not recommend.","Reviewed September 23, 2018 ",Date of travel: September 2018,Biman_Bangladesh_Airlines,1 of 5 bubbles
"Improved Service, Improved Entertainment","We got tickets of an International Transit flight at very low cost. It was Boeing 737-800 (800) that took us to Dhaka from Chittagong.In Flight Entertainment system is wonderful. They have good collection of movies and series, both in English and Bangla.The flight was so short that I started a movie, and the flight ended. The meal provided was good for a short flight.","Reviewed September 19, 2018 ",Date of travel: September 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
Opportunity to spread its wing to other part of the world,"It was my third time flying with Biman Bangladesh.I would say going to my own city without a single break was fabulous.But still this airline need to focus on some key point i.e making sure all entertaining options working properly,toilets are still below average,most important thing is to recruit cabin crew and air hostess with decent look and manner.Management should look at those and i believe Biman can spread worldwide.","Reviewed September 19, 2018 ",Date of travel: June 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
Biman services improved a lot,Biman Flights are on time now a days. They are operating with new aircraft and much better in flight service than before,"Reviewed September 19, 2018 ",Date of travel: August 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
Improved,"It was an amazing experience flying Biman Bangladesh Airline from Dhaka to Coxs Bazar route. The airline was new, on time and pleasant overall. I would rather pay a little more then any other airline on this route.","Reviewed September 18, 2018 ",Date of travel: September 2018,Biman_Bangladesh_Airlines,5 of 5 bubbles
The worst airline ever,what kind of idiots are running that airline from ground staff to the stewardesses so rude and unprofessional I booked a direct flight to shylet from Heathrow first of all there was an hour and a half delay than instead of landing in shylet they landed in Dhaka saying there was something wrong with the airoplane they kept us in Dhaka for over 3 hours none of the officers will tell us what was going on we had young children with us flying to Bangladesh for the first time we where all put in a room with out any water or any expelanation to when we were getting our flight to shylet people pay a lot of money to go on holiday times with children for the price we paid it was a very horrible experience the staff really need to stop acting like gangsters and try and help the passengers,"Reviewed September 18, 2018 ",Date of travel: December 2017,Biman_Bangladesh_Airlines,1 of 5 bubbles
A moderately good journey,The journey was comfortable and the customer service is also good. They have exclusive loyalty membership program. But the food which they provided was below average. They should be careful about this.,"Reviewed September 17, 2018 ",Date of travel: August 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
Best for DAC ZYL DAC route,"This was my first experience in Biman Bangladesh Airlines and it was a great one. I've received a lot of negative feedback earlier about Biman but I was really happy to travel in Biman. Moreover, Biman is best for DAC ZYL DAC route. I'm definitely continue traveling in Biman specially while traveling Sylhet","Reviewed September 17, 2018 ",Date of travel: September 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
Worst airline ,"One of worst airlines ever, starting from ground services up to boarding, My booking was in business class and was confirmed but later on the airline decided to change the aircraft to to single category flight with economy class only without informing the passengers and offcorse with no refunds also!! this is just the starting only, upon arriving the airline counter in Dhaka airport the way it's been handled was nightmare I might need a full page to describe the unprofessional and worst customer services I ever experienced, anyway the flight got cancelled without any announcement and after hours from waiting and asking almost everyone..find out later that the flight is cancelled, so they put me in some disgraceful motel for a night, finally the following morning was my scheduled flight home, horrible experience, anyways I met the country manager of this airline in his office he was a nice man and raised my complaint and he suggested me to write official email to Biman airlines so I did....till today no reply from them so ever !!!!!! I think this much is enough from my side talking about my horrible experiences with this airline from top to the bottom.","Reviewed September 17, 2018 ",Date of travel: April 2018,Biman_Bangladesh_Airlines,1 of 5 bubbles
Comfortable journey,As a flag carrier Biman is maintaining standard services in comparison between comfortability and affordability of customers. Well maintained aircraft along with proper cooling make the journey comfortable to the every passenger. I would love to fly again and again with Biman.,"Reviewed September 17, 2018 ",Date of travel: July 2018,Biman_Bangladesh_Airlines,5 of 5 bubbles
Passenger safety not taken seriously,I was flying with family. Due to negligence for on board passengers safety my 10 months old baby fallen out the seat and injured his head. Absolutely shocking as the cabin crew members were trying to cover things up.,"Reviewed September 17, 2018 ",Date of travel: September 2018,Biman_Bangladesh_Airlines,1 of 5 bubbles
"Low price, Great Service!","AWESOME Service, on time, tasty food and nice aircraft, loved it! also the flight schedule is suitable for right time hotel checkins/checkouts","Reviewed September 17, 2018 ",Date of travel: August 2018,Biman_Bangladesh_Airlines,5 of 5 bubbles
Good Flight Experience!,It was a Boieng 787 Dreamliner- Aakashbeena. Smooth Check-in. On time departure. Helpful flight crew. Fresh hot food. Good in-flight entertainment choices. Safe landing. Overall a very good flight experience!,"Reviewed September 17, 2018 ",Date of travel: September 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
"Good rate, great wieght allowance, bad food","Biman Bangladesh is a Airline where if you buy early you can get really good rates. Even buying late the rates are significantly lesser than other national airlines of other countries. The weight allowance is crazy 35 of usually for economy & 45 kg for business Have not seen any other airline give that kind of baggage weight allowance. The in flight entertainment & food are really had though Bring your own snacks & download some YouTube videos or movies on offline Netflix & you will be set. Also don't expect much from the air flight attendants Some are ride, some are nice but all of them are poorly trained & it shows.","Reviewed September 17, 2018 ",Date of travel: September 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
Superb landing,"The departure was 18 minutes late but arrival 10 minute late. This late was for three older passenger. They were sick. So all passenger considered this.Cabin crew, served food by hand (It means, she did not use galley trolley)The pilots were awesome. I never had such a smooth landing in Q400. Just awesome.The aircraft was not clean enough if you compare it with other well known airlines.Overall good very short flight.","Reviewed September 17, 2018 ",Date of travel: June 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
Captain Bangladesh ,We were taking a family vacation to see relatives in Sylhet. We were a group of six people. We checked in and boarded without a hitch and were seated towards the rear of the aircraft. Plus points were we sat in a row of six. We took off and I heard a loud noise underneath the aircraft I looked at everyone but no one seemed to be concerned. I thought it was the undercarriage and settled in. The food was served after an hour or so. Food was average for economy so no qualms. I had issues with the tv screens as some of our screens were knackered so had to bite the bullet.As this flight was direct to Sylhet it was a 10 hour flight. Downside the children didn’t get any toys so it was noisy. Anyway as we were over India and about 1 and a half hours to land we had an announcement from the captain. He announced that Heathrow airport had called and told them that they had found tyre debris of our plane on the tarmac. The plane would have to be diverted to Dhaka so that they could fix the issues. Everyone including myself was anxious thinking how are we going to land!We approached the Dhaka airport and the plane began to descend and everyone was praying. We landed without any problems whatsoever. Hooray and thank the almighty!! The plane got a new tyre and we set off after 2hours and arrived at our destination. ,"Reviewed September 16, 2018 ",Date of travel: August 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
"For international flight, bangladesh biman airline is very good","Their facility, cleanliness and air hostages was very friendly and helpful.Will like to take Bangladesh biman flight for my next trip too","Reviewed September 10, 2018 ",Date of travel: August 2018,Biman_Bangladesh_Airlines,5 of 5 bubbles
return flight not good,on the way back from bkk to dha the plane was terrible. the seats were very dirty. food was bad. the crew never have control over the passengers.,"Reviewed September 8, 2018 ",Date of travel: September 2018,Biman_Bangladesh_Airlines,2 of 5 bubbles
Economy travel,Economy class is good for low price and best services along with nice catering service of Halal Food.,"Reviewed September 7, 2018 ",Date of travel: August 2018,Biman_Bangladesh_Airlines,5 of 5 bubbles
Worst Airlines,Complete waste of money to buy ticket on this airlines when you have option to fly with other airlines. Horrible customer service and absolutely dirty interior.,"Reviewed August 17, 2018 ",Date of travel: August 2018,Biman_Bangladesh_Airlines,1 of 5 bubbles
A surprise,"We checked in at the airport without any problem and even if were a bit late, the crew was kindly waiting for us. The flight was perfect, and even if it was only 40 minutes long, we were offered a sandwich and a beverage. Crew was professional and flight on time","Reviewed August 16, 2018 ",Date of travel: August 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
fast direct service to Bangladesh,only reason why I chose the airline is its very convenient that it flies direct to my destination non stop. but on the way back is terrible as it makes stop over and waiting time is too long and early flight is also not good thing for me. Overall not too but just an average airline nothing else.,"Reviewed August 14, 2018 ",Date of travel: May 2018,Biman_Bangladesh_Airlines,3 of 5 bubbles
40 minute flight turns to 40 hours in transit,"I don't like giving out 1 star reviews because every experience usually has some sort of redeeming factor to it, however my experience with Bangladesh Biman was so bad I feel like a 1 star rating is too generous.I was travelling with my wife and 2 children to Dhaka from Sylhet airport on a domestic flight in order to catch a flight from Dhaka to Delhi and then from Delhi to Chennai. I booked a domestic flight from Sylhet to Dhaka to leave at 06.30am on 03/08/2018 in order for us to catch a 10:00am flight to Delhi. We arrived at the airport in good time and were checked in without any problems. The boarding pass said that the flight would board at 06:00hrs and the flight would depart at 06:30hrs. At approximately 06:00hrs a sign came up on the departures screening saying the flight was delayed and the estimated time of departure would be 07:20am. At this point it was still possible for us to connect to our onward flight. However, 07.20 came and went and it wasn’t until 07:50 that the plane arrived at the gate. The plane did not begin to board until 08:20 by which time it was looking more than likely we would miss our flights. There were no members of Biman staff available to speak to and no explanation was given for the delay. We arrived in Dhaka at approximately 09:00hrs at which point Biman staff on the tarmac were busy ferrying passengers travelling to London on to one bus whilst putting all other passengers on another bus. We did not arrive at the domestic terminal until 09:15hrs and by the time we had collected our bags and arrived at the international terminal our flight had already boarded.At Shahjalal International, I approached the Bangladesh Biman counter and attempted to speak to your representative. It was the first time in my life that I had met a person with so little compassion or empathy in my life. She did not apologise at any point for the delay, she did not at any point acknowledge the fact that the delay had resulted in us missing our flights nor did she offer any solutions. All she kept repeating was that it was not the fault of Bangladesh Biman that I had booked tickets with their airline and that I should have expected delays. Eventually, after realising that your member of staff, was in no way willing to assist me, I was forced to purchase tickets to fly to Kolkata from Dhaka at an additional expense of BDT 25,330. I was told that the earliest flight was at 19:20hrs and therefore I had to wait in the arrivals area of the terminal with my 2 children for 7 hours before check-in opened. In typical fashion the 19.20pm flight was delayed until 20:00hrs and then of course by the time we boarded it was 20:30hrs. I had to then pay for a hotel overnight in Kolkata as there were no connecting flights to Chennai and then had to purchase fresh tickets to Chennai. The arrogance of the staff member at the Bangladesh Biman desk in Dhaka was astounding, there was no reasoning with her and she was not going to even listen to the points I was making.This was the first (and last time) I flew with Bangladesh Biman and we arrived home 20 hours after the time we should have. I have complained to Bangladesh Biman, but given that they have the monopoly over flights coming in and out of Sylhet, I am sure my words will be dismissed in an equally arrogant manner as to the way I was treated in Dhaka by their representative.","Reviewed August 11, 2018 ",Date of travel: August 2018,Biman_Bangladesh_Airlines,1 of 5 bubbles
Unpredictable,"The most common issue with Biman Bangladesh is its timing. Flight arrives late & leaves late also. If you think of taking a connecting flight then be careful. Chances are you may miss the flight, The In-flight attendants are rude. Food is good but check in process needs more work.","Reviewed August 7, 2018 ",Date of travel: February 2018,Biman_Bangladesh_Airlines,2 of 5 bubbles
Gray service,I travelled with few friends from Dhaka to Sylhet in Busniess Class. It was a great service and very friendly staff. Will use again,"Reviewed July 22, 2018 ",Date of travel: July 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
Not good not bad. ,Biman Bangladesh airlines service Presently very good than befor. Air hostess are friendly. Everything average. ,"Reviewed July 12, 2018 ",Date of travel: July 2018,Biman_Bangladesh_Airlines,5 of 5 bubbles
Great service,"Wow how much difference an upgrade can actually make is unbelievable. I travelled with biman to bangladesh with economy with my 2 year old toddler. Because she was not yet 2 at the time of travel she did not have a seat. Economy seats were so cramped up, there was no leg room for me forget my toddler on my lap. However business class seats were amazing, from the seats to the service to the good and overall experience was great. I would highly recommend and will definetely be flying with them again. Only criticism would be the tv my one was sadly not working both times of travelling. Please do check all your tvs and sort them out before flight. It's a long flight and its also unfair as we have paid for this service.","Reviewed July 7, 2018 ",Date of travel: March 2018,Biman_Bangladesh_Airlines,5 of 5 bubbles
Horrible experience,"Flight was awful. Seats were cramped up. Flight was full, staff were disorganised and frustrated. It's just sad how badly the seats are layed out. Wont be flying economy with biman again","Reviewed July 7, 2018 ",Date of travel: January 2018,Biman_Bangladesh_Airlines,1 of 5 bubbles
Sketchy flight,"The plane was dirty and smelled bad, I believe the attendants were doing the best that they could and we arrived safely. I'm not sure if there are other options between cities, but I would hesitate to fly Biman again.","Reviewed June 26, 2018 ",Date of travel: June 2018,Biman_Bangladesh_Airlines,2 of 5 bubbles
Dhaka- London- Dhaka,"omg. So the flight itself was fine, 11 hrs, take off, flight, landing, all great. BUT SERVICE? flight attendants are totally absent. I had to hunt them down to get WATER. So you get 1meal and 1 snack through this 11 hr flight. Theres no inflight entertainment if you are unlucky like me because all their screens dont work. It was the same on my flight back. Flew Biman because they are the only airline with direct flight.Its not like the flight was cheap. I could have flown Turkish for less and Qatar for a couple of thousand takas more, $ 30 more...oh wellThe flight back to Dhaka was another story, its a full flight, as everyone from London is flying back to Sylhet. 9 hrs to sylhet then 1 hr at sylhet while the flight fills up again and then 20 mins to dhaka from sylhet.The worst thing is they have NO USB CHARGER FOR YOU TO CHARGE YOUR PHONE IN ECONOMY! WTH!If they improved the inflight service this flight would be KICKIN!","Reviewed June 25, 2018 ",Date of travel: June 2018,Biman_Bangladesh_Airlines,3 of 5 bubbles
Not Satisfactory,"Their interior is not clean at all, seats are dirty and congested. There is no room for leg space. They don't have in-flight entertainment options as well. Overall, I am not satisfied with their service at all.","Reviewed June 25, 2018 ",Date of travel: August 2017,Biman_Bangladesh_Airlines,2 of 5 bubbles
Great experience,Reading the reviews i was concerned but i just wanted a direct flight to dhaka without a stop over that doubles the travel time. The reception was excellent and friendly. Business class service was caring and food excellent. Drinks were only juices and soft drinks which would lose some customers. The headphones were great at keeping out noise and IFE was good.The seats were spacious but didnt recline to flat which made sleeping near impossible. Main negative point. I’d fly them again.,"Reviewed June 24, 2018 ",Date of travel: June 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
Appalling experience,"I chose my seats while I bought the ticket from their website but I was issued a different seat during return flight & I wasn't told about this alteration by the check-in counter staff. To make this ever worse; I didn’t realise this till I reached boarding gate.My main luggage was selected for random screening during bag drop (2nd time in a row), it didn’t feel random anymore but more like an arbitrary decision by the same counter staff (maybe because I only had one piece of small main luggage!).I was also told (REFUSED) that I couldn’t use the mileage from my Green membership card to access your lounge even though according to the info on their website I could do so! The staff then suggested that I spoke with their supervisor but without giving further directions and I was left to deal with this by myself.The on-board cleanliness/hygiene & willingness to give a bit of decent service seem to deteriorate by the day.I have been a regular flyer with Biman & advocate to encourage others to fly with Biman however, I’ll have to think twice before I fly again with them after the recent appalling experience & the ordeal they have put me through; particularly the refusal to access the lounge with the mileage on card.","Reviewed June 21, 2018 ",Date of travel: June 2018,Biman_Bangladesh_Airlines,1 of 5 bubbles
Clarity of boarding time and actual flight departure time could be improved,"This flight was displayed as on time and yet there was no sign of the plane and this continued past the planned boarding time. Rather frustrating because it meant waiting around gate because you couldn't be sure of true boarding time. The flight was uneventful but nothing specifically fantastic to write about. Think it could do better in services, meal options, snacks etc","Reviewed June 16, 2018 ",Date of travel: June 2018,Biman_Bangladesh_Airlines,3 of 5 bubbles
One of the worst airlines around,"The service is poor as usual, the flight attendants are rude and lack knowledge, one of the dodgiest airlines around, will con you over and over again. In flight entertainment doesn't work.","Reviewed May 31, 2018 ",Date of travel: February 2018,Biman_Bangladesh_Airlines,1 of 5 bubbles
Wheelchair 100 dollars,Sylhet airport (Biman staff)if I wanted a wheelchair They requested I pay them 100 dollars. My son who is disabled crying for over 1 hour no one helped me not even any passengers no one had a heart . I couldn’t afford a wheelchair I felt like breaking down. No one helped me. I gave up and couldn’t trust nobody. On the plane my son was crying. People in these airlines don’t care all they care about is money,"Reviewed May 29, 2018 ",Date of travel: May 2018,Biman_Bangladesh_Airlines,1 of 5 bubbles
Charged twice,I purchased an airline ticket through my travel agency. I arrived at the airport in Dhaka with the reservation information and the Biman Air representative refused to accept the confirmation. I had to buy a new ticket and two months later nobody at the airline has even acknowledged ten refund requests from either me or my travel agent. Ridiculous customer service.,"Reviewed May 25, 2018 ",Date of travel: March 2018,Biman_Bangladesh_Airlines,1 of 5 bubbles
Insulted my Disabled Son,I had a very bad experience never expected this from Airlines. Biplop is the worker he insulted me and my disabled son and then he made a joke out of it. The staff were also laughting at us. How can you do that. These People have no heart for disabled people . Biplop was so horrible he ruined mine and my family’s journey. We were so intimidated and didn’t feel comfortable at all. We just kept preying to get us out. God forbid anyone goes through what we did. Evil people no heart and no feelings no apology. Hope Biplop Karma and the rest of the people who laughed at us. This is the Culprit Biplop what a name.,"Reviewed May 24, 2018 ",Date of travel: May 2018,Biman_Bangladesh_Airlines,1 of 5 bubbles
Watching Everest !,Never thought that eversest would be that close till we take the Bangladesh Biman flight - Moyurponki on our way back to Dhaka. mesmerizing ! and on top of that the crew on that flight plus the overall hygiene of the aircraft made us feel rejuvenated! way 2 go !,"Reviewed May 23, 2018 ",Date of travel: April 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
Perfect flight,"Recently i flied from Dhaka to Cox's bazar by Biman Bangladesh Airlines. The price is reasonable and mostly SAFE. As a national airlines agency the plane is safe than other private agencies. The plane was very good, no extra sound, seats were really comfortable, snacks were great!","Reviewed May 23, 2018 ",Date of travel: May 2018,Biman_Bangladesh_Airlines,5 of 5 bubbles
Good fly,"Our flight scheduled time was 7 AM and it start without delay from the airport. The main observation was though the aircraft was not any bigger one, but the pilot was take off the plane in very smooth manner. The sky was clear, the service of air hosts was average. We landed in Kolkata airport at the mentioned time without delay. Also while coming back, we have started from Kolkata airport at 8.35 PM and landed without any problem at Dhaka airport at 10.35 PM making a delay for few minutes due to started a bit late. My overall observation and hospitality is good. We have got our luggage's in a shortest possible time which also astonished me since I have heard lot of negative comments regarding luggage missing at Biman compound. ","Reviewed May 22, 2018 ",Date of travel: May 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
"Excellent Aircraft, Great Service","The aircraft was brand new and the rich red upholstery was very attractive. The business class seats were comfortable with sufficient legroom. A snack and water were served in a tastefully designed off white box. The air crew were attentive, friendly and courteous. The flight took off and landed on time. The pilot had an attractive, well modulated voice and it was a pleasure to listen to his announcements. Overall an excellent experience.","Reviewed May 22, 2018 ",Date of travel: May 2018,Biman_Bangladesh_Airlines,5 of 5 bubbles
Good Experience,"flight was delayed due to late arrival, very courteous cabin crew, purser came out on the stair to help with the hand baggage improvement in food is recommended","Reviewed May 22, 2018 ",Date of travel: May 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
Efficient and affordable!,"The service was adequate and efficient. The staff were friendly and the flight was on time. The economy class seats were a bit congested, but that is usual for all the low cost flights world over.","Reviewed May 22, 2018 ",Date of travel: May 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
Sylhet to Dhaka...cheap at its best...,"It was just 2000 bdt, cheap as hell, probably the cheapest flight of my life....it was early morning flight with no delay.","Reviewed May 21, 2018 ",Date of travel: May 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
Poor service and poorly maintained planes,"Service and safety are the two major concerns for Biman Bangladesh Airlines. On the day of my flight, weather condition was bad. Therefore, we were ferried to the plane by bus. The bus was not an usual airport bus, rather an ordinary bus and in a very bad condition. We were dropped on the active runway and nobody was there to walk us safely to the plane. The plane was poorly maintained. I had to hold the back of my seat during the whole flight as it was falling down on the passenger at my back. Entertainment system was not working. Food was horrible. The milk power provided for tea was hard and most probably expired. Cabin crews are irresponsible and non-responsive. All in all, I suggest to avoid this airline unless they bring better planes and improve service.","Reviewed May 21, 2018 ",Date of travel: January 2018,Biman_Bangladesh_Airlines,1 of 5 bubbles
Excellent Service,Space between seats is well enough. Cabin crew are also helpful. Provided food the journey was delicious also. Baggage was handled properly.,"Reviewed May 16, 2018 ",Date of travel: April 2018,Biman_Bangladesh_Airlines,5 of 5 bubbles
A bit conjusted but fine enough,"Though the airline is a bit congested, the service is reliable. Needs a bit of a upgrading in terms of interior maintenance otherwise it is good. The in-flight movies allows people pass time.","Reviewed May 12, 2018 ",Date of travel: April 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
Cheapest airline with excellent service,"We booked the ticket at lowest possible price. The flight was on time. Excellent service onboard. In last couple of years, this flight improved a lot. I think Biman is the cheapest airlines in the world. But they provide excellent service. Needs improvement in food quality. The attitude of crew was friendly. But our return flight was four hours delay. But they provided us enough money to enjoy meal in the mean time. If they can manage schedule they can be best budget airline.","Reviewed May 9, 2018 ",Date of travel: October 2017,Biman_Bangladesh_Airlines,5 of 5 bubbles
Not that bad,Its true that it has earned a very bad name in providing services but may be I was lucky and got an above average service.,"Reviewed April 30, 2018 ",Date of travel: August 2017,Biman_Bangladesh_Airlines,3 of 5 bubbles
Good Experience,Biman Bangladesh is one of oldest airlines in Bangladesh . I have some good experience with biman bangladesh . ,"Reviewed April 25, 2018 ",Date of travel: October 2017,Biman_Bangladesh_Airlines,4 of 5 bubbles
Average experience,Small airline. Does not have enough leg space. Passengers were having trouble with luggage. Staffs were cooperative. Food (Poloa and chicken curry) was average taste. Surprisingly there was huge pressure on toilet and i found long queue there. Flight was only 5/10 mins delayed. There was limited number of movies/ Drama collection as well. They provided a headphone as well.,"Reviewed April 24, 2018 ",Date of travel: March 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
Delayed flight and worst Hospitality in my whole flight travelling experience,"During both departure and arrival they delayed the flight for half an hour. Sitting inside flight but cannot operate in-flight entertainment. My departure flight from Dhaka was at 11 am, they served snacks was okay. But when I returned from Kathmandu at 1:00 pm, they served the same snacks as previous flight. During lunch time they serve some stupid snacks. Whereas US Bangla and Regent service proper lunch.","Reviewed April 15, 2018 ",Date of travel: March 2018,Biman_Bangladesh_Airlines,3 of 5 bubbles
Poor service by Biman Bangladesh,Poor amenities in the flight...No leg space...poor breakfast on board...flight was delayed from Kolkata,"Reviewed April 11, 2018 ",Date of travel: March 2018,Biman_Bangladesh_Airlines,2 of 5 bubbles
One of the worst flight experience,"This is one of my worst flight experience. I traveled a lot and had multiple flight experience. But the way Biman Bangladesh operates their international flight, most of our domestic flights in India & USA is better than that. I would suggest travel in Air India or Jet while traveling from Kolkata to Dhaka. Even I guess Kolkata-Dhaka bus service is better than this flight experience.","Reviewed April 8, 2018 ",Date of travel: May 2017,Biman_Bangladesh_Airlines,2 of 5 bubbles
Very good service!,"Singapore to Dhaka service was very good. Good inflight entertainment as well as food. Their continental food needs to improve. Seat is comfortable but the 3rd row seats cannot be reclined fully. On time take off and landing. Also when arriving in Dhk, no separate vehicles for business class passengers which was upsetting. Overall very good experience given it was a 4 hour flight. ","Reviewed April 6, 2018 ",Date of travel: April 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
"pilots are great, big planes","pilots are great, big planes, but they always delay flight times and their food is just not good. The flight that took off from Dhaka was an older plane model and ac wasn't working properly. The flight from coxs to Dhk was great though with a newer plane and working ac.","Reviewed April 4, 2018 ",Date of travel: March 2018,Biman_Bangladesh_Airlines,3 of 5 bubbles
Good Airline,Had a good experience with Biman Bangladesh Airlines. Not delayed for a single minute and reached at destination on time. Heard so many complains about this airline but for the 4th time i traveled with biman with no complain.,"Reviewed April 3, 2018 ",Date of travel: February 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
Nice Journey with them,Its the only national airlines of Bangladesh. Traveled with biman to singapore and thailand. Had a good experience with them. On time journey. Well behaved cabin crew. Good food.,"Reviewed April 3, 2018 ",Date of travel: February 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
On-time and overall good service,"We availed return flight (Dhaka-Cox's Bazar) with wide body aircraft. The flights were on time-service people , take-off and landing perfect","Reviewed April 3, 2018 ",Date of travel: February 2018,Biman_Bangladesh_Airlines,4 of 5 bubbles
London Heathrow Terminal 4 - Sylhet Osmani International Airport,"I cannot complain at all no matter how many people write bad reviews but your country is your country cannot complain its just a matter of 9-10 hours after is your pleasure. No matter what happens no matter how many other aircraft land in Sylhet, Biman Bangladesh Airlines will always be my favorite and cannot compare any other aircraft.","Reviewed March 29, 2018 ",Date of travel: March 2018,Biman_Bangladesh_Airlines,5 of 5 bubbles
just a govt service,One of the govt service in Bangladesh. They can provide good service but unfortunately they did`t give any perfect service. The Aircraft pilot are very experience .,"Reviewed March 29, 2018 ",Date of travel: January 2018,Biman_Bangladesh_Airlines,3 of 5 bubbles
Avoid at any cost,Don't know where to start. Let's start with the check in. Check-in: There is no online check in system. As a family (3 year old and a year old) we had pre-booked seats. In heathrow counter when I checked in they put three of us in three different seats and said because of some regulation (Front of aeroplane loaded with cargo) they have to put as many passengers towards the rear end and it's not possible to provide the seats together not even reserved ones. They suggested to talk to crews once the flight reaches the cruising altitude. When spoke to crew they didn't want to listen and understand. Afterwards the captain of the flight had to deal with the issue. Crew members: The crew members were least helpful and don't have any customer service skills. Some old fashioned uniform with a grumpy face. They are walking and eating their food before they serve the passengers.Food: The food quality was poor and fixed menu. They don't have any vegetarian options and difficult to provide any dietary requirements. Seat comfort: The seat comfort is close to nothing. The local buses in UK have comfortable seats compared to the Biman seats. In flight entertainment: 75 % of in flight entertainment was broken. Fortunately i took my kids tablets or else the 11 hour flight would have been nightmare. The screen backside which is really hot is accessible to kids and finger can get through there. The temperature was getting either too cold or too hot within the Biman. They don't switch on the aircon before take off. There are mosquitoes are flying around in flight and biting the kids. They might have came in the flight flew from Bangladesh. I travelled in Biman after 16 years and I am a frequent flyer in different airlines. But this is probably the first and last time I will travel with Biman. The price of the tickets don't reflect the service they provide. They are not particularly any cheaper than other airlines.,"Reviewed March 26, 2018 ",Date of travel: March 2018,Biman_Bangladesh_Airlines,1 of 5 bubbles
