title,author,author_country,datePublished,content,verified,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Recommended,Food & Beverages,Inflight Entertainment,Wifi & Connectivity
Biman Bangladesh Airlines customer review,N Akter,Singapore,26th July 2015,"Singapore to Dhaka was quite good. The station manager went an extra mile to ensure that I get an empty seat next to me for the baby, as all the bassinet seats were taken. The cabin crew was also helpful. Inflight menu has improved from the last time when I travelled 3 years ago. Dhaka to Chittagong flight was A310 and bad weather. Not the best aircraft to fly.",,Boeing 737,Family Leisure,Economy Class,Singapore to Chittagong via Dhaka,July 2015,4.0,5.0,4.0,5.0,yes,5.0,2.0,
Biman Bangladesh Airlines customer review,Siddique Jafar,Bangladesh,22nd July 2015,Checking in was totally disorganised. It took us almost half an hour to check in. We were waiting in line only to be told to shift to another line after wasting 20 minutes. Check in clerks need more training to be more efficient. Flight was delayed one hour after boarding due to late loading of cargo.,,Boeing 737,Business,Economy Class,Dhaka to Kathmandu,July 2015,3.0,2.0,1.0,2.0,no,,,
Biman Bangladesh Airlines customer review,A B Mowla,Bangladesh,6th July 2015,Check-in at DAC was a breeze. Very polite ground staff at DAC and BKK. Flights left on time. Attentive FAs. Meals served were warm and good to taste. Nothing to complain about. Had flown with both TG and PG on these routes. Trust me Biman's service's as good as theirs.,,B737-800,Family Leisure,Economy Class,Dhaka to Bangkok,June 2015,4.0,5.0,5.0,5.0,yes,5.0,3.0,
Biman Bangladesh Airlines customer review,S Alam,Singapore,20th May 2015,Took two flights Singapore to Dhaka and Dhaka to Chittagong. Both flights were on time. Singapore - Dhaka was served by the B737. Those are really old aircraft with no EFE. Dhaka to Chittagong was 777. Food was ok cabin crews were also nice. I was making a decision whether to fly Tiger Air (budget carrier) or Biman I must say it was a good decision. Let's see what the return flight has in store for me in 2 weeks time.,,,,Economy Class,,,3.0,4.0,,5.0,yes,4.0,2.0,
Biman Bangladesh Airlines customer review,Mohammad Makshumul Hoque,United Arab Emirates,10th May 2015,I traveled on April 30 2015. I took 2 flights on the same day - one international from Kuala Lumpur to Dhaka and the other is domestic from Dhaka to Chittagong. Amazingly both the flights were perfectly on time. In fact both of those did not even slipped 10 minutes. I heard that Biman Bangladesh improved a lot in terms of schedule service inflight audio visual entertainment but the experience was beyond expectations. A good number of recent Hollywood movies classic English Hindi and Bengali films were available on international flight with no extra charge. Complementary food was excellent. Ticket price was far lower than other available flights. Seats were neat. Leg room was very good. I will strongly recommend this Airline for both domestic and international - specially international.,,,,Economy Class,,,5.0,4.0,,5.0,yes,5.0,5.0,
Biman Bangladesh Airlines customer review,Tanjim Islam,Bangladesh,17th March 2015,Travelled from DAC to KTM by Biman's ageing A310. Flight was delayed for over 5 hours but we were informed. While going to KTM the flight was almost vacant. Cabin crews behaviour was very good and co-operative. Foods was quite tasty but cold. There was no IFE system and no magazines/newspapers were provided. Return flight was also quite good. No delay occured. Food was good but lack of In-flight entertainment. Would love to fly Biman again.,,,,Economy Class,,,4.0,5.0,,4.0,yes,3.0,0.0,
Biman Bangladesh Airlines customer review,R Islam,United Kingdom,14th January 2015,LHR to Sylhet direct on 6th December 2014 and Sylhet to LHR via Dhaka on 4th January 2015. Very poor airline and we are all disappointed. We were family of 7. Flight was delayed by 2 hours from LHR. Cabin crew were rude with no smiles at all. Very miserable and unprofessional. Biman has purchased a Boeing 777 er but seriously they need to recruit new cabin crew. Food was ok nothing special. Drinks were served with no ice very little food served for a 10 hours flight. Me and my family will never fly this airline again.,,,,Economy Class,,,2.0,1.0,,1.0,no,1.0,2.0,
Biman Bangladesh Airlines customer review,Alamgir Kabir Dewan,Australia,22nd December 2014,I flew with Biman for the first time from Kuala Lumpur to Dhaka in September and Return was in November. It was very good experience. Flight was on time in both instances and was happy with the crew food and luggage handling. The entertainment was outside my expectation in the return flight with latest music TV series and movies for me and my daughter.,,,,Economy Class,,,4.0,4.0,,4.0,yes,4.0,5.0,
Biman Bangladesh Airlines customer review,Runa Parvin,United Kingdom,22nd September 2014,Flew to DAC-LHR-DAC route. The value for money was quite reasonable. Inflight entertainment wasn't very good. The staff were inattentive to the customers. The food was quite good. All flights were on time. Will fly with the airline again if their quality improves.,,,,Economy Class,,,3.0,2.0,,4.0,yes,4.0,3.0,
Biman Bangladesh Airlines customer review,Zulkhairul Naim,Malaysia,18th September 2014,Kuala Lumpur - Dhaka - Kathmandu return. All flights were on time. Most the flights were old except KUK - Dhaka (B77-300ER). As a 2 star airline I cannot complaint. Food was good in terms of portion size but there was not many choices of food. Cabin crews not attentive to passengers. Will fly with them again if I manage to get a cheaper price.,,,,Economy Class,,,3.0,2.0,,4.0,yes,3.0,2.0,
Biman Bangladesh Airlines customer review,Haq Tanzirul,United Kingdom,28th August 2014,Flew from Heathrow to Dhaka on 6th July 2014. Checking-in at Heathrow Terminal 4 was an unusual experience for me. Although checking-in was relatively quick but the chaos/arguments amongst the passengers and ushering staff didn't go unnoticed. No niceties. This chaos and disorganisation continued during the boarding. Take off delayed but that was of no fault of the airline. Aircraft Boeing 777-/300 ER was fine. In-flight food was simple usual Asian curry and rice and not much to say about that. Cabin crews didn't seem very happy. They portrayed the image of doing a job rather than serving customers with a smile. Full of used toilet tissues on the toilet floor and on one occasion I found no toilet paper at all. Landed at Sylhet International Airport. The airport is a joke for international standards. Passengers for Sylhet got off and few cleaners boarded and followed by few domestic and international passengers bound for Dhaka. Biman then took off for Dhaka (a 20 minutes flight). The captain didn't even bother to announce anything! Confusion again after landing at Dhaka airport. Which passengers will use which door! No organisation no clear instructions no communications between crews. They just stood by the door arms folded. Returned to London Heathrow on 13th August in business class wasn't that bad. This time the cabin crew were more welcoming. Take off was delayed 45 minutes and landed at Heathrow at 4.05 instead of 3.30.,,,,Business Class,,,4.0,2.0,,3.0,no,2.0,3.0,
Biman Bangladesh Airlines customer review,Burgess Ian,United Kingdom,21st April 2014,"We have just returned from a 2 week trip to Dhaka. 5th April LHR-DAC delayed 3 hours. When a crew was finally aboard the lack of discipline amongst the passengers scrambling to get on as if it was going to depart without them delayed the fight still further. On this flight the cabin crew were fairly miserable but not as bad as some we have seen. The cabin lights which are normally dimmed for take off were not switched on again for more than half an hour into the flight. IFE was not switched on until around 1 hour into the flight - why I cannot understand. Of course the scheduled turnaround in ZYL for onward to DAC was a joke in terms of timing as around 400 people trooped slowly off with their children and around another 300 trooped in for onward connections. Arrived in DAC about 4 hours overdue. Return flight direct DAC-LHR started with a drama. Arrived DAC to check in and were met by a check-in desk operator who seemed puzzled and asked us to wait as there was a problem. After 15-20 minutes of 3-4 check in desk staff discussing this animatedly over a console we were approached by a more senior check in operator who bluntly told us ""You are not on this flight"". Eventually a younger member of the group pointed out to them that we were not stand-by passengers and that we had a confirmed booking. However by this time someone had reallocated our seats. Eventually we received boarding passes. Flight was on time and had a newly recruited crew who were helpful smiled and even chatted. This flight DAC-LHR had a 12 year old allocated to the exit row 6 on one side of the cabin and a 6 year old and an elderly overweight lady in the equivalent row on the other side - more chaos for the cabin crew to sort out after boarding. If this airline wants to survive it needs to drag itself into the 21st century and stop running a Cattle Class service with updated training in customer services and a bit of humanity - especially the ground crews.",,,,Economy Class,,,4.0,3.0,,3.0,no,3.0,2.0,
Biman Bangladesh Airlines customer review,A Masum,United Kingdom,9th April 2014,LHR-ZYL. ZYL-DAC-LHR. Flying with Biman for the first time was a great experience. Outbound flight LHR-ZYL departed 10 mins early. Aircraft was Biman's 3rd new Boeing 777 300ER (S2 AHM / Akash Prodeep) which was only 1 month old and was completely fresh inside out. Colour of the seats was a bit dreary but was comfortable with plenty of legroom. Staff were nice and friendly but a some of them need to smile a bit more. Food was excellent. Inbound flight from ZYL to DAC was delayed by 2 hours. Plane was in good nick which was Bimans first B777 (Palki). DAC-LHR was Bimans 2nd Boeing (Arun Alo) which was also pretty much clean until a few hours in to the flight were the toilets became a mess. I would definitely fly with Biman again when I travel to Bangladesh as it only takes 9.5 hours rather than 15 hrs should I have used another airline which requires changing aircraft's.,,,,Economy Class,,,5.0,5.0,,5.0,yes,5.0,3.0,
Biman Bangladesh Airlines customer review,Hasan Wahid,United Kingdom,7th February 2014,05/01/2014 BG108 DAC to ZYL. Business class flight departed on time food was good but could be improved. Will be traveling with Biman again.,,,,Business Class,,,4.0,3.0,,4.0,yes,4.0,3.0,
Biman Bangladesh Airlines customer review,R Bialek,Sweden,10th December 2013,"Dhaka - Kathmandu - Dhaka. This was the only airline going directly from Dhaka to Kathmandu. Outbound was on time but the plane was an old Fokker which should have been scrapped years ago. There was no electricity in the kitchen and we were server a cold ""vegetarian burger"". Going back a few days later the plane was delayed for 6 hours for no reason. Once we landed in Dhaka it was 3 am instead of 6 hours earlier at 9 pm. No explanation no excuse no suggestion of free of charge airport shuttle was given. Nothing. One of the worst flight experiences.",,,,Economy Class,,,3.0,1.0,,1.0,no,1.0,0.0,
Biman Bangladesh Airlines customer review,Chowdhury Didar,New Zealand,15th November 2013,Flew from Dhaka to London in October with new Boeing 777 on business class. To be honest wasn't that bad but they do need to look after their Business class passengers a bit more. Plane was new and entertainment was alright most movies are outdated by least by 6+ months. Foods were okay just to fill you up I found Qatar Economy food even better then Biman Business class. A lot of leg room only thing I hated was when the announcement was made for economy class not to do this and that it was broadcast throughout the plane. Overall I will fly again.,,,,Business Class,,,5.0,4.0,,4.0,yes,3.0,3.0,
Biman Bangladesh Airlines customer review,P J Trebuchet,United Arab Emirates,29th August 2013,DAC-DXB August 18th. Shockingly expensive for quite poor product. Biman Business Class is without a doubt the most affordable upgrade all over the world (USD 400 for one way ) however you get what you pay and it's evident that such a service is less than EK economy class which was USD 60 cheaper: poor old and tired lounge at Dhaka airport not less old and tired Airbus A310 as an equipment (which was continuing to Rome afterwards). No IFE on board cheesy breakfast served (burnt fried egg cold kangee strange chicken sausage and sautéed mushroom tasting like sponge) and no espresso coffee available. Rude and unprofessional Bengali cabin crew. Definitely fly Emirates on DAC-DXB route.,,,,Business Class,,,2.0,1.0,,1.0,no,2.0,1.0,
Biman Bangladesh Airlines customer review,Shane Walker,Bangladesh,31st May 2013,Due to no seats being available with Singapore Airlines I unfortunately had to fly from Singapore to Dhaka with Biman and so I at least booked Business Class. Flight delayed almost 4 hours without explanation and very little communication from ground crew. Flight crew were reasonably attentive but they really do need to learn to smile. The food was OK but certainly not Business Class standards and they had a very limited selection of drinks and on-board entertainment (not everyone wants to watch Bollywood movies and the screens were too small). The A310 aircraft was reasonably clean but really starting to show it's age. The toilets were a mess by the end of the flight even though it was less than 5 hours duration. Really the only good point was the price i.e. Business Class ticket was half the price of an Economy ticket with Singapore Airlines. I certainly won't be flying Biman again unless I have no other choice.,,,,Business Class,,,3.0,2.0,,3.0,no,1.0,1.0,
Biman Bangladesh Airlines customer review,M Ahmed,United Kingdom,5th May 2013,Heathrow - Sylhet. Departure delayed an hour passengers created chaos as they fail to listen to instructions given by cabin crew. Cabin crew themselves need to smile more especially the female cabin crew. Overall the new B777 is comfortable and entertainment is decent. Food is served twice but the quality could be improved found the food to be quite bland. Sylhet airport itself is a joke that itself is a different topic altogether. Overall for the price I paid I am fairly happy with the service.,,,,Economy Class,,,3.0,2.0,,3.0,yes,2.0,3.0,
Biman Bangladesh Airlines customer review,M Rahman,United Kingdom,5th February 2013,"Jan 2013. Heathrow - Sylhet return. Departure delayed 4hrs on flight out to BD. New 777 pleasant enough toilets kept clean and food served twice. Cabin crew very attentive. Return flight Sylhet - Dhaka delayed by over 3hrs (got asked to be at airport for 4.30am. Flight left at 10.30am). Delay due to ""fog"". Dhaka - Heathrow. Plane pleasant enough food edible. Not enough entertainment. No cartoons for children and very un-accommodating cabin crew. I flew with a 4yr old and 13month old and no baby cot was provided although specifically requested at check-in desk. Will not choose Biman in future. Although baggage allowance and direct flight is appealing the overall delays and service make me think I'm better off with an Emirates or Etihad next time.",,,,Economy Class,,,2.0,2.0,,1.0,no,3.0,1.0,
Biman Bangladesh Airlines customer review,-,,1st November 2007,"CCU-DAC-CCU. My flight to Dhaka was scheduled for 1930 hrs and since I was connecting from an Indian domestic flight I had arrived at Calcutta Airport at noon time. Sitting in the lobby of the international terminal I received a phone call from Biman informing me the flight would be delayed until 2230 (although the departure information board right above me was still showing ""Scheduled""). To their credit BG offered free dinner. We finally departed 2330 i.e. 4 hours late. Can't understand why an airline whose main base is only 40 minutes flying time away cannot rearrange its planes to avoid a 4-hour delay. Returning four days later flight was on time but check-in was extremely slow due to repeated incursions by uniformed staff holding bundles of tickets and passports of pax who were not in the queue. When I finally complained the staff member in question told me that he was actually checking in himself ""as crew"" and therefore had priority. Further questions revealed that he was not operating crew and simply felt that paying passengers come last in the scheme of things. BG have a lot of customer service training to do.",,,,,,,,,,,no,,,
Biman Bangladesh Airlines customer review,-,,1st November 2007,Business class from DAC to BKK. The check-in counter was a zoo and there was no provision for separate check-in for business class. The lounge was filthy and they offered only water and soda pop. There was no food. Alcoholic beverages are not offered as a matter of policy. The flight was comfortable wine and beer are served for an additional fee - payable in US dollars. Exact change is required.,,,,,,,,,,,no,,,
Biman Bangladesh Airlines customer review,-,,30th April 2007,"Absolutely abysmal airline. They ask passengers to bear with them as they are an ""emerging airline / from a developing nation"" and hope that that comment makes us feel sorry for them and allows us to understand and condone their absolutely shocking service food plane. Left Heathrow 7 hours late for a trip to Bangkok with a plane change in Dhaka the plane that was supposed to be in Dhaka was still in New York and the plane I was on was going back to Heathrow. Stranded in Dhaka.",,,,,,,,,,,no,,,
Biman Bangladesh Airlines customer review,-,,24th April 2007,I was travelling with my three children aged 20 months 3 years old an 8 year old and my mother from Heathrow. My flight was for 3pm but was delayed until 9pm. My return flight from Shylet was for 10.40am and was then delayed to 3.00pm. Once we arrived in Dhaka the flight was for 2.00am but then delayed again for the following morning but there was no time given. This carried on for the next 5days. No information was given throughout these days and I was running out of money as I had two children on nappies I did not have enough clothes or enough nappies. I asked for nappies and they supplied me with 6 pieces of nappies after 8hrs.Two of my children were due back for school and as a result of this they both missed 1 week of school. My family and I were put up in the Imperial Hotel International for five days with no explanation as to what was happening. We were only told that a connecting flight would be available the next day. This went on for five days. I always made contact with the people who was in connection with those in charge as we was left in a situation not knowing when where going to get our flight. We then was put on a flight on the 5th day with the airline Air India to the Uk. We were given no financial or practical assistance or information from Biman Bangladesh as to what was happening and were left stranded with a young family for five days in a strange city. The situation would have been extremely stressful for anyone in my position however for my mother and me it was even more so as she suffers from high blood pressure and I am epileptic.,,,,,,,,,,,no,,,
Biman Bangladesh Airlines customer review,Shupriya Iqbal,,1st March 2007,London -Dhaka-Sylhet recently. When we arrived at LHR it took over two ours to check in due to long queues. We were then told our flight was delayed but not told the reason for the delay or how long we would have to wait. Our flight ended up being delayed for 12 hours and it was a complete nightmare in the airport with two boys running around all over the place. After this ordeal we boarded the aircraft at midnight. I was appalled by the poor service dished out by Biman cabin crew. They were curt and less then helpful when I asked them for anything and avoided making eye contact. They made no effort whatsoever to make us comfortable. On the way back the journey was no better. Although we had prebooked to arrive by the last flight from Sylhet to Dhaka so the transit time before we boarded the plane for London would be shorter we were made to take the first flight to Dhaka when the tickets were reconfirmed. When we arrived in Dhaka it took over two hours of immigration checks and queues before we were taken to a hotel. Staff in Dhaka airport were completely oblivious to the needs of parents with young children. I had to stand in ceremony in front of countless officials who made us wait obscene lengths of time before they even noticed us. We were finally taken to a Hotel - it must have been one of the worst Hotels in Bangladesh. The four of us were ushered into a dark and dirty room with no windows or natural day light. The furniture was shoddy and falling apart carpet was stained blanket on the bed was filthy. On the flight back the service from the cabin crew was no better. By then I ceased to be appalled by anything because it is the norm with Biman Bangladesh airlines.,,,,,,,,,,,no,,,
Biman Bangladesh Airlines customer review,Samina Nessa,,22nd January 2007,I recently flew with Biman accompanied by my 20-month old son from London to Dhaka to Sylhet. There was delays when boarding delays at Dhaka even though my flight was a direct one from London to Sylhet. During the night I was ignored by crew members despite my repeated requests for a blanket for my child. I eventually had to cover him with part of my sari to keep him warm. The toilets were filthy mother- &-baby changing facilities could not be found anywhere on the plane despite their notice being hung on a so-called baby-changing room. The crew were unhelpful and rude. At check-in in London I was told by a Biman representative to pay a 'reward' for the baggage handler to ignore my so-called overloaded baggage - which was NOT above the allowed weight! The food and service provided on board was shoddy to say the least. The plane was falling to bits seats and food trays did not stay where they were meant to a child seat belt had to be requested repeatedly by myself as crew members did not bother to check whether passengers had belted up. On the return journey I did not even bother asking for one - the hassle was too much. The most horrendous thing about Biman is that there is a serious lack of responsibility for passenger safety by crew members. This is quite frightening when travelling with young children. The return journey was very disorganised as we were required to reconfirm already confirmed tickets and once were contacted by their office to say the flight was delayed and to collect a new boarding pass which we had to pay for with our funds.,,,,,,,,,,,no,,,
Biman Bangladesh Airlines customer review,Giles Wynne,,29th July 2006,Business class BKK to LHR 39000bht or £550.Promotion offer! BKK Business class lounge fair to good. All types of alcoholic drinks and good snacks. A310 Bkk to DAC comfortable and good food considering old aircraft and limited staff. Beer and red wine as requested. Business class lounge at Dhaka poor. Dirty chairs but better than Economy Class area. Only coffee free and alcohol in nearby bar very expensive. DAC to stop over in Dubai old DC10food poor and business class invaded by air crew going on holiday. Dubai OK for Duty Free. Dubai to LHR Food very good and drinks as above. All in all good value for the money. Choose your flight dates carefully to get best connection times. I understand 11 NEW A330 aircraft have been ordered.,,,,,,,,,,,no,,,
Biman Bangladesh Airlines customer review,Arafat Mahbub,,4th July 2006,Riyadh to Dhaka and back - my second time. After the many delays and poor service at the counter (one advantage being that if your vacation is very short you have it extended by the delays and you can blame it on the plane to dodge your superior's wrath!) I was in a queue for over 3 hours just to get through immigration! I finally boarded the plane which was parked way out on the tarmac and got there by the bus shuttle service. Was winter so I was spared the heat (this flight didn't have very good air-conditioning I think it was one of the older planes) but it can get quite stuffy. The cabin crew quite friendly and chatty. The seats had very little legroom even for my 5’6 frame. I had to push the neighboring passenger off my shoulder - thrice well we really can't blame him the seats didn't recline and were cramped. Food was ok considering I’ve tasted worse. Toilet seats were bad and lets not forget the train of ants on the toilet wall; I saw tiny roaches crawling on a another flight! I received my luggage 2 days after I reached Dhaka. I had some clothes and personal amenities in my carry-all so I survived - but most of the other people on my flight were not so lucky... If your traveling in winter and it's one of the newer planes at night I suggest you keep your outerwear as it can get quite chilly (provided there is air conditioning)  and blankets are in short supply. On one of my flights most people had turned in their jackets which were kept in a compartment behind the projector screen there weren't enough blankets to go around and so many people shivered mercifully children were given priority as for myself I had my jacket on - a cabin crew member suggested holding on to it - thanks to her. Well it's a very small fleet and so I guess not too much in the way of funds. As to whether I'll ever fly it again I don't know but in the mean time I'll put it on my list of airlines I'd fly only out of dire necessity.,,,,,,,,,,,no,,,
Biman Bangladesh Airlines customer review,L Fiddy,,17th May 2006,I guess I can only echo the complaints below and be thankful that I made it back to London in one piece. Journey to Bangkok uncomfortable and delayed for only 10 hours - (I understand now that this really is a walk in the park when flying with Biman). Return journey was not so smooth - after spending two days trying to reconfirm my already paid for tickets and finally giving up I was allowed to fly from Bangkok to Dakar. Bad mistake - why didn't they leave me in Bangkok where you can organise things normally - alas my path had been chosen - I was to land in Dakar and get told that I am not allowed to leave - great - its not like I have a job to go to and I could think of nothing better to do than spend the rest of my days rotting away in possibly the worst airport in the known world. 9 hours of hard negotiation a call to the British Embassy and some serious negotiation with the London office meant that I was able to board the flight 9 hours later with only 20mins to spare. If this had not happened I would have been trapped in Dakar for between 3-5 days. I am not a religious man but I must admit I was praying with everyone else at takeoff when I saw the decor and found a piece of the plane (not sure which) under the seat in front of me - I carefully replaced this and tried to forget that I ever saw it - an unscheduled stop in Dubai (clearly to drop off all the passengers that they had over booked onto all the already paid for tickets) meant the flight from Dakar to London took 17 hours - match this with a non-reclining seat - air stewards smoking on a non-smoking flight and distinct uncertainty if we were going to make it made for an experience I will never forget. Long live Biman since my return you have made me appreciate every minute of every day that I am still here.,,,,,,,,,,,no,,,
Biman Bangladesh Airlines customer review,Terry Dryden,,10th February 2006,"New Delhi to Dhaka: without doubt the worst airline I've ever flown. On a scale of 0-10 with 0 the worst and 10 the best Biman rates -10. My check-in experience was horrendous. There was no order or organization and the process took over an hour - a good thing the flight was running a few hours late. I had to fight to keep people from cutting in line in front of me. The staff didn’t seem to know what they were doing and there didn’t seem to be enough staff. The excess baggage fee was highway robbery - I checked two bags and paid just over $125. And they don’t take credit cards. I was thankful that I had kept my Indian rupees so that I was able to pay the huge excess baggage fee. I can understand a shop in remote village not taking VISA but not an international airline. Their handling of cash would give an accountant a coronary. Make sure you keep good records of what you pay and who you give your cash to. I would have sworn that the antique looking Airbus 310 I flew Delhi to Dhaka was built back in the 19th century - never cleaned or maintained since. The unusual mechanical noises during taxi take off flight and landing were unnerving. The seats are small and tightly squished together - pity anyone taller than me (I'm 5'10"") I have no idea where they will put their legs. I was struggling to find someplace to put mine - heaven forbid if the passenger in front of you decides to recline back into your lap and face. I doubt I could have read a book on the flight. There wasn't room for one! Plus the pages would have burst into flames due to the extremely hot temperature inside the cabin (I had a thermometer with me) it was over 91 Fahrenheit (33 Celsius) and there was no air circulation which made it seem even hotter. If you don't have any natural padding don't expect to find any in the seats. And pray you don't have to use the restrooms during the flight. Many have over the years and most seem to have missed their target. After landing I really expected to look back (as if I could really see though the filthy dirty windows) and see wing parts debris one of the engines and all our luggage spread out behind the aircraft as we taxied roughly off the runway. After arriving in Dhaka only two and a half hours late I hoped my return flight would be better. But after reading the negative comments on this web forum I didn’t have much hope for a better flight back to Delhi. I just hoped I would survive! And a recent article in the local paper about Biman flights experiencing 50 hour delays in New York and multi day delays in Europe didn’t encourage me any. If anyone ever suggests that you fly on Biman walk instead. If you arrive at your destination you will be required to reconfirm your return flight at least 72 hours before your flight or your confirmed ticket will be canceled. That may be good or bad depending upon your perspective. Reconfirmation is another huge hassle with Biman. It took me six tries; once by phone as stated on their web site and twice at their office in Chittagong and I tried again without success at a travel agency. The lines at the Biman office were long and not moving maybe they had staff working the counters and maybe not it was hard to tell looking through the multitudes of people waiting in the dark room. I ran out of time during both attempts at the Biman Chittagong office and had to leave. When I got to the Chittagong airport I went to the Biman ticket counter and they couldn't reconfirm my ticket there. Finally a local friend spent several hours getting my return ticket reconfirmed for me in Dhakha. I don't see the logic of having to reconfirm already bought and paid for confirmed tickets. My return flight went better than my first one did. My experience at the check out counter went well. I thought it was interesting that my excess baggage fee was less than half what I paid on my first flight considering that I had a few more kilograms on this flight. The flight left on time and arrived on time in Delhi. I had some friends who flew from Mumbai to Dhaka the other day and their flight was fourteen hours late. The aircraft was an old DC-10 and this flight was not stuffed full. In fact I had an open seat next to me which gave my legs someplace to spread out to. The food was not as tasty as the first flight but so far I’ve not gotten sick. The cabin temperature was comfortable only during take off and landing. During flight the air temp was around 85 Fahrenheit (30 Celsius) without any air circulation still way too hot for my taste. I didn’t brave the restroom on this flight. I don’t plan to fly with Biman again. The hot cabin temp very tight seating space excessive excess baggage fees and the reconfirmation hassles are enough to keep me off their planes in the future. Seriously fly on another airline when you visit Bangladesh. The few dollars saved with Biman Bangladesh Airlines are not worth it.",,,,,,,,,,,no,,,
Biman Bangladesh Airlines customer review,Iain Maciver,,19th December 2005,I never thought an airline could be this pathetic. Missed my Emirates connection from Dubai to Dhaka and put onto the Biman flight. Unreal! Lavatory doors broken - in the open position total seat fixed in place by many coats of paint last owner was spanish as all the signs etc were in that language (as though the Bangladesh passengers understood it)  excrement on the floor no air movement inside the cabin told to pull shades down to keep heat out. No food no drink no nothing for the entire flight. It was a sweat box by the time it landed. Surely ICAO should ground this outfit!!! Avoid this airline your life may depend on it!,,,,,,,,,,,no,,,
Biman Bangladesh Airlines customer review,Thierry de Borchgrave,,10th December 2005,We tried to get to Bangkok with Biman Bangladesh starting from Paris Orly. We should have left from Paris on Sunday but the flight to Dhaka was cancelled. No announcement no information nothing. We managed to find a Biman representative who told us the flight would leave Monday morning. We could stay at a hotel close to the airport terminal paid by Biman. We (and some more people that slept on the airport floor because they did not find the well hidden Biman representative) left on Monday but not straight to Dhaka. First to Rome to pick up some other passengers that got stuck there. Finally we took off to Dhaka and landed there in the middle of the night. Tickets and passports were taken and we could stay in a dirty hotel until the morning because the flight to Bangkok was leaving on Monday morning. The bus to the airport never picked us up. No flights to Bangkok on Monday ! You will fly tomorrow morning we were told with a great smile. Finally we arrived in Bangkok Tuesday instead of Sunday. Return flight to Brussels via Dubai was okay only three hours delay - first time and last time ever with Biman Bangladesh.,,,,,,,,,,,no,,,
Biman Bangladesh Airlines customer review,Jimmy Yu,,1st November 2005,Before takeoff the normal checks on passengers' safety belt was not carried out. There was a door latch that was unserviceable in the pantry. Before takeoff the cabin crew placed boxes in front of this door in the attempt to prevent it from flipping open. The exterior of the airplane was very dirty. The interior décor of the cabin is poor. The seat covers which have floral designs are old and tattered. A making tape was found pasted on one of the in-flight screen monitor. This monitor was suspected to have cracked at its edge. There was also a foul smell of lavatory in the cabin throughout the flight. Despite sound system being built in the seats earphones were never distributed to the passengers. No movie were screened during the flight. Other that the in- flight magazine ‘Digonto’ no other reading materials were available in the cabin. Orange juice was served before the flight. After airborne dinner which consists of only one meat puff and two springs rolls were served immediately. This meal was accompanied by hot beverage and plain water. The female cabin crew wears traditional ‘sari’ that gives the passenger an exotic South Asian feel. Only basic and essential service like food distribution was rendered to the passengers and nothing more. The cabin crew never smiled throughout. The standard of Biman cannot be comparable on the world stage -services are tolerable for very short haul flights but not suited for passengers intending to travel international beyond 5 hours of flight.,,,,,,,,,,,no,,,
Biman Bangladesh Airlines customer review,Mehtab Rahman,,14th August 2005,DAC-CGP Business Class. Flight delayed by two hours. The smell of aircraft fuel lingered onboard throughout the flight. The business class with its infamous floral seat covers in tatters. The seat configuration 2-3-2 on an airbus A310. Seat pitch poor (tighter than any other J class I have flown - pitch similar to WT+ on BA). Inflight service is minimal; pax offered water sweets pan masala and Biman's trademark 'Mango Bar' (which is quite good). Overall an ok flight - nothing to write home about. Biman should consider revamping their aircrafts - they are horrible. I don't believe Biman will be purchasing a new fleet of B777s and A330/340's anytime soon so better not keep hopes high. A poor airline Biman should get its act together as quickly as possible.,,,,,,,,,,,no,,,
Biman Bangladesh Airlines customer review,Jamal Ullah,,8th August 2005,London-Dhaka-Sylhet. We were a group of 17 and booked 4 months in advance. After check-in we were hurried to board the plane and was one of the last to board. Upon entering the plane I was disappointed with the interior flowery seat covers and it looked like something from the seventies. This was the Airbus A300 the National Express coaches in England look a lot smarter! There was a lot of confusion with seating and my family was split up they wanted my 4yr old daughter and my 3yr old son to sit some distance away from us the crew constantly saying let us take off then you can swap seats with anyone. In the end a compromise was found with another family. The flight was ok and surprisingly on time. Entertainment was nothing at all food not bad all I can say is they should improve the look of the planes interiors and modernise things or they are going to lose a lot of business to other carriers. The only reason a lot of people use Biman is because of convenience of landing in Sylhet airport (Biman does not allow any other international flight to land in Sylhet yet 90% of Biman passengers are Sylhetis),,,,,,,,,,,no,,,
Biman Bangladesh Airlines customer review,Asif Ahmed,,5th September 2004,Delhi-Dhaka. Forced to take Biman as no other flights. Paid top fare as no discounts - in fact same fare as London-Delhi! Crew were awful. They ignored requests for blankets for the infant ordered passengers around and were very unhelpful with the pram. The screen did not work (on both ways) and so could not see any of the security demonstrations but it did not bother them. They made us sweat in the plane for absolutely ages before we had any aircon. The food was very poor quality and the drinks choice was lemonade cola or water - that's it! Filthy plane with ripped fittings. The crew did not check seat belts or close any trays and were no help at all with the infant belt. There seem to be many ranks of crew who ordered the lower ranks around! Many seats are taken up by free passengers who work for the airline or government. Use this airline at your peril!,,,,,,,,,,,no,,,
